ID;Nome Fantasia;% de mercado;Nacionalidade;Associado;Tipo de Associado;Cidade;Estado;País
120;Empresa 120;0,79%;Multinacional;Sim;Efetivo;Cambé;Paraná;Brasil
96;Empresa 96;0,78%;Multinacional;Sim;Efetivo;Itapevi;São Paulo;Brasil
130;Empresa 130;0,75%;Multinacional;Sim;Efetivo;Barueri;São Paulo;Brasil
74;Empresa 74;0,75%;Nacional;Sim;Efetivo;Hortolândia;São Paulo;Brasil
52;Empresa 52;0,72%;Nacional;Sim;Efetivo;Itapira;São Paulo;Brasil
111;Empresa 111;0,71%;Nacional;Sim;Efetivo;Aguaí;São Paulo;Brasil
633;Empresa 633;0,66%;Nacional;Sim;Cooperador;Rio de Janeiro;Rio de Janeiro;Brasil
567;Empresa 567;0,65%;Multinacional;Sim;Cooperador;Rio de Janeiro;Rio de Janeiro;Brasil
102;Empresa 102;0,64%;Nacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
541;Empresa 541;0,61%;Nacional;Sim;Efetivo;Toledo;Paraná;Brasil
54;Empresa 54;0,60%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
12;Empresa 12;0,59%;Nacional;Sim;Efetivo;Atibaia;São Paulo;Brasil
548;Empresa 548;0,59%;Multinacional;-;Cooperador;São Paulo;São Paulo;Brasil
762;Empresa 762;0,59%;Multinacional;Sim;Cooperador;São Paulo;São Paulo;Brasil
11;Empresa 11;0,54%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
142;Empresa 142;0,53%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
612;Empresa 612;0,46%;Multinacional;Sim;Cooperador;Porto Alegre;Rio Grande do Sul;Brasil
256;Empresa 256;0,44%;Multinacional;Sim;Cooperador;Rio de Janeiro;Rio de Janeiro;Brasil
48;Empresa 48;0,44%;Multinacional;Sim;Efetivo;Santana de Parnaíba;São Paulo;Brasil
689;Empresa 689;0,44%;Nacional;Sim;Cooperador;CAMPOS DOS GOYTACAZES;Rio de Janeiro;Brasil
26;Empresa 26;0,42%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
112;Empresa 112;0,41%;Nacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
922;Empresa 922;0,41%;Nacional;Sim;Cooperador;Santo Antônio de Jesus;Bahia;BRASIL
47;Empresa 47;0,38%;Multinacional;Sim;Efetivo;Indaiatuba;São Paulo;Brasil
69;Empresa 69;0,38%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
113;Empresa 113;0,37%;Multinacional;Sim;Efetivo;Barueri;São Paulo;Brasil
